ticket_id,priority_a_human_gave_it,hours_to_resolve,what_happened
TICK-00813,2,20.6,resolved
TICK-00814,2,24.6,resolved
TICK-00815,2,20.4,resolved
TICK-00816,3,84.7,resolved
TICK-00817,1,5.6,resolved
TICK-00818,4,132.6,resolved
TICK-00819,4,211.4,resolved
TICK-00820,2,7.6,resolved
TICK-00821,3,100.3,escalated
TICK-00822,3,96.7,resolved
TICK-00823,3,45.5,resolved
TICK-00824,4,192.1,resolved
TICK-00825,2,21.4,resolved
TICK-00826,4,185.5,resolved
TICK-00827,3,54.1,resolved
TICK-00828,3,47.3,resolved
TICK-00829,3,48.7,resolved
TICK-00830,4,193.2,resolved
TICK-00831,4,232.6,resolved
TICK-00832,4,223.9,resolved
TICK-00833,2,18.7,resolved
TICK-00834,3,77.2,resolved
TICK-00835,2,6.3,resolved
TICK-00836,4,231.5,escalated
TICK-00837,4,89.1,resolved
TICK-00838,3,39.6,resolved
TICK-00839,3,96.5,resolved
TICK-00840,2,23.7,resolved
TICK-00841,3,78.0,closed_no_action
TICK-00842,4,193.6,resolved
TICK-00843,3,25.5,resolved
TICK-00844,1,8.0,resolved
TICK-00845,4,187.8,resolved
TICK-00846,4,53.7,resolved
TICK-00847,4,117.1,resolved
TICK-00848,3,84.5,resolved
TICK-00849,2,7.8,resolved
TICK-00850,3,78.3,escalated
TICK-00851,4,70.1,escalated
TICK-00852,1,3.8,resolved
TICK-00853,4,66.6,resolved
TICK-00854,1,3.3,resolved
TICK-00855,1,5.6,resolved
TICK-00856,3,55.1,closed_no_action
TICK-00857,3,102.5,resolved
TICK-00858,3,22.9,resolved
TICK-00859,4,168.0,resolved
TICK-00860,2,20.3,resolved
TICK-00861,1,6.9,resolved
TICK-00862,1,6.8,resolved
TICK-00863,3,51.9,escalated
TICK-00864,1,8.5,resolved
TICK-00865,1,8.5,resolved
TICK-00866,3,67.2,resolved
TICK-00867,1,6.0,resolved
TICK-00868,4,203.3,resolved
TICK-00869,4,166.4,resolved
TICK-00870,2,18.6,resolved
TICK-00871,3,28.7,resolved
TICK-00872,4,189.2,resolved
TICK-00873,3,29.4,resolved
TICK-00874,4,181.4,resolved
TICK-00875,4,190.6,resolved
TICK-00876,4,233.7,resolved
TICK-00877,3,30.3,resolved
TICK-00878,4,93.8,resolved
TICK-00879,4,143.7,resolved
TICK-00880,3,22.0,resolved
TICK-00881,3,100.9,resolved
TICK-00882,1,3.6,escalated
TICK-00883,3,63.1,resolved
TICK-00884,1,2.9,resolved
TICK-00885,4,247.1,resolved
TICK-00886,3,84.4,resolved
TICK-00887,3,68.8,resolved
TICK-00888,4,188.0,resolved
TICK-00889,3,40.6,resolved
TICK-00890,1,2.8,resolved
TICK-00891,2,6.9,escalated
TICK-00892,4,205.9,resolved
TICK-00893,4,171.4,resolved
TICK-00894,3,27.1,resolved
TICK-00895,4,191.6,resolved
TICK-00896,4,120.0,resolved
TICK-00897,2,13.1,resolved
TICK-00898,4,173.3,resolved
TICK-00899,3,104.8,resolved
TICK-00900,3,105.5,escalated
TICK-00901,3,84.0,resolved
TICK-00902,2,21.5,resolved
TICK-00903,4,218.1,resolved
TICK-00904,1,6.6,escalated
TICK-00905,1,8.0,resolved
TICK-00906,1,4.3,resolved
TICK-00907,1,4.7,resolved
TICK-00908,3,85.6,closed_no_action
TICK-00909,4,133.6,resolved
TICK-00910,1,3.8,resolved
TICK-00911,4,71.4,resolved
TICK-00912,4,232.2,resolved
TICK-00913,1,5.6,closed_no_action
TICK-00914,1,3.8,resolved
TICK-00915,3,78.1,resolved
TICK-00916,3,96.8,resolved
TICK-00917,4,105.6,escalated
TICK-00918,4,230.0,resolved
TICK-00919,2,5.1,resolved
TICK-00920,4,261.4,resolved
TICK-00921,1,7.8,closed_no_action
TICK-00922,3,104.3,resolved
TICK-00923,1,1.7,resolved
TICK-00924,2,8.9,resolved
TICK-00925,1,3.0,resolved
TICK-00926,2,5.2,resolved
TICK-00927,2,16.5,resolved
TICK-00928,3,51.9,resolved
TICK-00929,2,21.7,resolved
TICK-00930,4,146.2,closed_no_action
TICK-00931,4,147.5,resolved
TICK-00932,1,5.9,resolved
TICK-00933,4,116.9,resolved
TICK-00934,1,2.8,resolved
TICK-00935,4,82.8,resolved
TICK-00936,2,18.0,resolved
TICK-00937,3,22.0,resolved
TICK-00938,3,54.9,resolved
TICK-00939,4,223.2,resolved
TICK-00940,3,57.0,resolved
TICK-00941,1,5.5,closed_no_action
TICK-00942,3,50.3,resolved
TICK-00943,1,6.9,resolved
TICK-00944,3,23.9,resolved
TICK-00945,2,23.6,resolved
TICK-00946,4,54.9,resolved
TICK-00947,1,8.6,resolved
TICK-00948,3,101.7,closed_no_action
TICK-00949,3,68.4,resolved
TICK-00950,2,20.3,closed_no_action
TICK-00951,3,90.8,resolved
TICK-00952,4,95.3,resolved
TICK-00953,4,100.5,resolved
TICK-00954,1,2.2,resolved
TICK-00955,4,240.2,resolved
TICK-00956,1,2.1,escalated
TICK-00957,4,166.9,resolved
TICK-00958,4,151.4,resolved
TICK-00959,4,84.3,resolved
TICK-00960,2,6.2,closed_no_action
TICK-00961,1,7.7,resolved
TICK-00962,3,41.1,resolved
TICK-00963,4,188.8,closed_no_action
TICK-00964,2,23.0,resolved
TICK-00965,1,4.9,resolved
TICK-00966,3,78.4,resolved
TICK-00967,4,111.8,resolved
TICK-00968,3,65.3,resolved
TICK-00969,4,221.9,escalated
TICK-00970,4,222.7,resolved
TICK-00971,4,155.9,resolved
TICK-00972,3,102.3,resolved
TICK-00973,4,176.7,resolved
TICK-00974,4,59.4,resolved
TICK-00975,4,96.8,closed_no_action
TICK-00976,4,116.8,resolved
TICK-00977,2,23.7,resolved
TICK-00978,4,247.8,resolved
TICK-00979,3,24.9,resolved
TICK-00980,4,90.9,resolved
TICK-00981,1,7.6,escalated
TICK-00982,3,86.8,resolved
TICK-00983,3,52.1,resolved
TICK-00984,1,7.2,resolved
TICK-00985,4,122.8,closed_no_action
TICK-00986,1,3.3,escalated
TICK-00987,3,85.9,resolved
TICK-00988,2,13.1,resolved
TICK-00989,4,119.3,resolved
TICK-00990,3,41.1,resolved
TICK-00991,3,59.2,resolved
TICK-00992,4,198.2,closed_no_action
TICK-00993,3,34.9,resolved
TICK-00994,3,55.6,resolved
TICK-00995,3,41.4,resolved
TICK-00996,4,77.7,resolved
TICK-00997,2,23.2,resolved
TICK-00998,4,217.7,resolved
TICK-00999,4,79.6,resolved
TICK-01000,3,30.4,resolved
